"","","occ","ranges","mean_env","mean_cov","sum_cov"
"141","FJ_forest_Scaff4005316_1","5","0.11818907","0.3414262576","1.1860820076","5.930410038"
"142","FJ_forest_Scaff4098896_1","4","0.234807052","0.36909107525","1.27571038525","5.102841541"
"143","FJ_tailings_Scaff347672_2","1","0","0.080735236","0.463531791","0.463531791"
"144","FJ_tailings_Scaff449096_1","39","0.804545256","0.337955","2.370290302","92.441321778"
"145","FX_farmland_Scaff0056733_1","9","0.291024633","0.648176637666667","0.866837097555556","7.801533878"
"146","FX_farmland_Scaff0126297_1","5","0.312641737","0.5906746598","0.752699827","3.763499135"
"147","FX_farmland_Scaff0203746_1","10","0.592800224","0.5409170403","0.7872710035","7.872710035"
"148","FX_farmland_Scaff0373516_1","19","0.506764697","0.591688392157895","0.674531205526316","12.816092905"
"149","FX_farmland_Scaff0511567_2","37","0.633884878","0.601424743675676","0.462618104891892","17.116869881"
"150","FX_farmland_Scaff0565319_1","4","0.189044791","0.6503761725","1.00851422725","4.034056909"
"151","FX_farmland_Scaff1092422_1","30","0.521124209","0.4449009056","0.5916046586","17.748139758"
"152","FX_farmland_Scaff1228913_1","2","0.00568400000000002","0.591270369","1.2187622175","2.437524435"
"153","FX_farmland_Scaff1678085_1","15","0.433916117","0.5297341992","0.517773027266667","7.766595409"
"154","FX_farmland_Scaff1851952_2","10","0.317323016","0.587368177","0.8547978516","8.547978516"
"155","FX_farmland_Scaff2651746_2","2","0.00568400000000002","0.591270369","2.107438196","4.214876392"
"156","FX_farmland_Scaff2978951_3","15","0.339775472","0.6270497776","3.4907592442","52.361388663"
"157","FX_farmland_Scaff2983193_1","18","0.397312554","0.606014618888889","0.667254960277778","12.010589285"
"158","FX_farmland_Scaff3069636_1","7","0.235346971","0.649211198571429","0.641910750285714","4.493375252"
"159","FX_farmland_Scaff3330508_1","4","0.161313045","0.53353339925","1.069936881","4.279747524"
"160","FX_farmland_Scaff3358209_1","4","0.084769641","0.55266925025","0.42867882075","1.714715283"
"161","FX_farmland_Scaff3573286_1","24","0.341634892","0.584293186875","0.713253361208333","17.118080669"
"162","FX_farmland_Scaff3598134_1","8","0.381952215","0.592025926875","0.836248749","6.689989992"
"163","FX_farmland_Scaff3654434_1","16","0.486874404","0.6455427620625","0.6127131141875","9.803409827"
"164","FX_farmland_Scaff3658532_1","17","0.633884878","0.627542535117647","0.875992275117647","14.891868677"
"165","FX_farmland_Scaff3772246_1","5","0.161313045","0.544301438","0.870018671","4.350093355"
"166","FX_farmland_Scaff3821916_5","97","0.889224498","0.50809536771134","1.07352226829897","104.131660025"
"167","FX_farmland_Scaff3922507_1","1","0","0.588428369","1.876381068","1.876381068"
"168","FX_farmland_Scaff4536963_1","10","0.293303613","0.5910480343","0.5844768017","5.844768017"
"169","FX_farmland_Scaff4653322_2","11","0.341634892","0.573157612","0.928699594545454","10.21569554"
"170","FX_farmland_Scaff4686573_1","12","0.438519658","0.525039032916667","0.240021744","2.880260928"
"171","FX_farmland_Scaff4796740_4","13","0.377018844","0.650030868076923","0.738100554307692","9.595307206"
"172","FX_farmland_Scaff4992679_2","3","0.250292758","0.544894980333333","1.81082852533333","5.432485576"
"173","FX_farmland_Scaff5243930_1","15","0.321341182","0.6019010742","0.541793138666667","8.12689708"
"174","FX_farmland_Scaff5279749_1","22","0.443703046","0.580161725636364","0.416935447318182","9.172579841"
"175","FX_farmland_Scaff5377215_1","16","0.481206465","0.6585290845625","0.3951778595","6.322845752"
"176","FX_forest_Scaff0254730_13","14","0.425080474","0.368861941357143","1.88550465428571","26.39706516"
"177","FX_forest_Scaff0491665_1","3","0.219642253","0.383532957333333","0.972529917","2.917589751"
"178","FX_forest_Scaff0776468_1","7","0.3240455","0.463790822285714","0.931653935714286","6.52157755"
"179","FX_forest_Scaff0784631_1","2","0.05707837","0.44723398","1.2385395465","2.477079093"
"180","FX_forest_Scaff1383300_1","3","0.155629045","0.507458632","1.35268073633333","4.058042209"
"181","FX_forest_Scaff1434846_1","1","0","0.501148203","4.011827659","4.011827659"
"182","FX_forest_Scaff1581179_2","3","0.05707837","0.448402297","1.75325879366667","5.259776381"
